x,z,dist,ne
68784.7884943001,-28.1280610362486,207,0
68785.7884943001,-28.1147989206839,208,0
68786.7884943001,-28.1015368051179,209,0
68787.7884943001,-28.0882746895531,210,0
68788.7884943001,-28.0750125739871,211,0
68789.7884943001,-28.0617504584221,212,0
68790.7884943001,-28.0484883428561,213,0
68791.7884943001,-28.0352262272914,214,0
68792.7884943001,-28.0219641117253,215,0
68793.7884943001,-28.0087291926013,216,0
68794.7884943001,-27.9976944767992,217,0
68795.7884943001,-27.986659760998,218,0
68796.7884943001,-27.975625045197,219,0
68797.7884943001,-27.9645903293948,220,0
68798.7884943001,-27.9535556135937,221,0
68799.7884943001,-27.9425208977916,222,0
68800.7884943001,-27.9314861819895,223,0
68801.7884943001,-27.9204514661884,224,0
68802.7884943001,-27.9094167503873,225,0
68803.7884943001,-27.8983820345851,226,0
68804.7884943001,-27.8873473187841,227,0
68805.7884943001,-27.876312602982,228,0
68806.7884943001,-27.865277887181,229,0
68807.7884943001,-27.8542431713788,230,0
68808.7884943001,-27.8432084555776,231,0
68809.7884943001,-27.8321737397755,232,0
68810.7884943001,-27.8211390239744,233,0
68811.7884943001,-27.8101043081723,234,0
68812.7884943001,-27.7990695923713,235,0
68813.7884943001,-27.7880416988136,236,0
68814.7884943001,-27.7775183764236,237,0
68815.7884943001,-27.7669950540326,238,0
68816.7884943001,-27.7564717316428,239,0
68817.7884943001,-27.7459484092517,240,0
68818.7884943001,-27.7354250868618,241,0
68819.7884943001,-27.7249017644709,242,0
68820.7884943001,-27.7143784420809,243,0
68821.7884943001,-27.7038551196899,244,0
68822.7884943001,-27.6933317973,245,0
68823.7884943001,-27.682808474909,246,0
68824.7884943001,-27.6722851525191,247,0
68825.7884943001,-27.6617618301282,248,0
68826.7884943001,-27.6512385077382,249,0
68827.7884943001,-27.6407151853482,250,0
68828.7884943001,-27.6301918629573,251,0
68829.7884943001,-27.6196685405674,252,0
68830.7884943001,-27.6091452181765,253,0
68831.7884943001,-27.5986218957866,254,0
68832.7884943001,-27.5880985733955,255,0
68833.7884943001,-27.5775752510055,256,0
68834.7884943001,-27.5670519286146,257,0
68835.7884943001,-27.5565286062247,258,0
68836.7884943001,-27.5460052838337,259,0
68837.7884943001,-27.5354819614438,260,0
68838.7884943001,-27.5249586390528,261,0
68839.7884943001,-27.5144353166628,262,0
68840.7884943001,-27.5039119942719,263,0
68841.7884943001,-27.493388671882,264,0
68842.7884943001,-27.4828653494909,265,0
68843.7884943001,-27.472342027101,266,0
68844.7884943001,-27.4618187047101,267,0
68845.7884943001,-27.4512953823201,268,0
68846.7884943001,-27.4407720599292,269,0
68847.7884943001,-27.4302487375392,270,0
68848.7884943001,-27.4197254151482,271,0
68849.7884943001,-27.4092020927583,272,0
68850.7884943001,-27.3986787703674,273,0
68851.7884943001,-27.3881554479774,274,0
68852.7884943001,-27.3776321255874,275,0
68853.7884943001,-27.3671088031965,276,0
68854.7884943001,-27.3565854808066,277,0
68855.7884943001,-27.3460621584157,278,0
68856.7884943001,-27.3355388360258,279,0
68857.7884943001,-27.3250155136347,280,0
68858.7884943001,-27.3144921912447,281,0
68859.7884943001,-27.3039688688538,282,0
68860.7884943001,-27.2934455464639,283,0
68861.7884943001,-27.282922224073,284,0
68862.7884943001,-27.272398901683,285,0
68863.7884943001,-27.261875579292,286,0
68864.7884943001,-27.251352256902,287,0
68865.7884943001,-27.2408289345111,288,0
68866.7884943001,-27.2303056121212,289,0
68867.7884943001,-27.2197822897302,290,0
68868.7884943001,-27.2092471903318,291,0
68869.7884943001,-27.1980079193328,292,0
68870.7884943001,-27.1867686483347,293,0
68871.7884943001,-27.1755293773356,294,0
68872.7884943001,-27.1642901063377,295,0
68873.7884943001,-27.1530508353387,296,0
68874.7884943001,-27.1418115643408,297,0
68875.7884943001,-27.1305722933417,298,0
68876.7884943001,-27.1193330223437,299,0
68877.7884943001,-27.1080937513457,300,0
68878.7884943001,-27.0968544803467,301,0
68879.7884943001,-27.0856152093488,302,0
68880.7884943001,-27.0743759383498,303,0
68881.7884943001,-27.0631366673518,304,0
68882.7884943001,-27.0518973963527,305,0
68883.7884943001,-27.0406581253547,306,0
68884.7884943001,-27.0294188543556,307,0
68885.7884943001,-27.0181795833577,308,0
68886.7884943001,-27.0069403123587,309,0
68887.7884943001,-26.9957010413608,310,0
68888.7884943001,-26.9844517811223,311,0
68889.7884943001,-26.9726442961864,312,0
68890.7884943001,-26.9608368112493,313,0
68891.7884943001,-26.9490293263135,314,0
68892.7884943001,-26.9372218413766,315,0
68893.7884943001,-26.9254143564407,316,0
68894.7884943001,-26.9136068715037,317,0
68895.7884943001,-26.9017993865678,318,0
68896.7884943001,-26.8899919016307,319,0
68897.7884943001,-26.8781844166949,320,0
68898.7884943001,-26.8663769317579,321,0
68899.7884943001,-26.8545694468221,322,0
68900.7884943001,-26.8427619618852,323,0
68901.7884943001,-26.8309544769491,324,0
68902.7884943001,-26.8191469920133,325,0
68903.7884943001,-26.8073395070764,326,0
68904.7884943001,-26.7955320221405,327,0
68905.7884943001,-26.7837245372036,328,0
68906.7884943001,-26.7719170522677,329,0
68907.7884943001,-26.7601095673307,330,0
68908.7884943001,-26.7483020823948,331,0
68909.7884943001,-26.7364945974577,332,0
68910.7884943001,-26.7246871125219,333,0
68911.7884943001,-26.712879627585,334,0
68912.7884943001,-26.7010721426491,335,0
68913.7884943001,-26.6892646577121,336,0
68914.7884943001,-26.6774571727762,337,0
68915.7884943001,-26.6656496878391,338,0
68916.7884943001,-26.6538422029033,339,0
68917.7884943001,-26.6420347179663,340,0
68918.7884943001,-26.6302272330305,341,0
68919.7884943001,-26.6184197480935,342,0
68920.7884943001,-26.6066122631575,343,0
68921.7884943001,-26.5948047782205,344,0
68922.7884943001,-26.5829972932848,345,0
68923.7884943001,-26.5711898083477,346,0
68924.7884943001,-26.5593823234119,347,0
68925.7884943001,-26.5475748384749,348,0
68926.7884943001,-26.5357673535391,349,0
68927.7884943001,-26.523959868602,350,0
68928.7884943001,-26.5121523836661,351,0
68929.7884943001,-26.5003448987303,352,0
68930.7884943001,-26.4885374137933,353,0
68931.7884943001,-26.4767299288563,354,0
68932.7884943001,-26.4649224439205,355,0
68933.7884943001,-26.4531149589846,356,0
68934.7884943001,-26.4413074740475,357,0
68935.7884943001,-26.4294999891117,358,0
68936.7884943001,-26.4176925041747,359,0
68937.7884943001,-26.4058850192389,360,0
68938.7884943001,-26.3940775343019,361,0
68939.7884943001,-26.3822700493659,362,0
68940.7884943001,-26.3704625644289,363,0
68941.7884943001,-26.3586550794931,364,0
68942.7884943001,-26.3468475945561,365,0
68943.7884943001,-26.3350314103349,366,0
68944.7884943001,-26.3228034482976,367,0
68945.7884943001,-26.3105754862614,368,0
68946.7884943001,-26.2983475242242,369,0
68947.7884943001,-26.2861195621881,370,0
68948.7884943001,-26.2738916001509,371,0
68949.7884943001,-26.2616636381148,372,0
68950.7884943001,-26.2494356760776,373,0
68951.7884943001,-26.2372077140416,374,0
68952.7884943001,-26.2249797520042,375,0
68953.7884943001,-26.2127517899681,376,0
68954.7884943001,-26.2005238279309,377,0
68955.7884943001,-26.1882958658949,378,0
68956.7884943001,-26.1760679038577,379,0
68957.7884943001,-26.1638399418216,380,0
68958.7884943001,-26.1516119797854,381,0
68959.7884943001,-26.1393840177482,382,0
68960.7884943001,-26.1271560557122,383,0
68961.7884943001,-26.1149280936749,384,0
68962.7884943001,-26.1027001316389,385,0
68963.7884943001,-26.0905046529247,386,0
68964.7884943001,-26.0797654107988,387,0
68965.7884943001,-26.0690261686722,388,0
68966.7884943001,-26.0582869265465,389,0
68967.7884943001,-26.0475476844197,390,0
68968.7884943001,-26.036808442294,391,0
68969.7884943001,-26.0260692001674,392,0
68970.7884943001,-26.0153299580415,393,0
68971.7884943001,-26.0045907159148,394,0
68972.7884943001,-25.9938514737892,395,0
68973.7884943001,-25.9831122316624,396,0
68974.7884943001,-25.9723729895367,397,0
68975.7884943001,-25.96163374741,398,0
68976.7884943001,-25.9508945052844,399,0
68977.7884943001,-25.9401552631575,400,0
68978.7884943001,-25.9294160210318,401,0
68979.7884943001,-25.9186767789051,402,0
68980.7884943001,-25.9079375367794,403,0
68981.7884943001,-25.8971982946527,404,0
68982.7884943001,-25.886459052527,405,0
68983.7884943001,-25.8757198104013,406,0
68984.7884943001,-25.8649805682745,407,0
68985.7884943001,-25.8542413261488,408,0
68986.7884943001,-25.8435020840222,409,0
68987.7884943001,-25.8327628418965,410,0
68988.7884943001,-25.8220235997697,411,0
68989.7884943001,-25.8112843576439,412,0
68990.7884943001,-25.8005451155172,413,0
68991.7884943001,-25.7898058733915,414,0
68992.7884943001,-25.7790666312648,415,0
68993.7884943001,-25.7683273891392,416,0
68994.7884943001,-25.7575881470125,417,0
68995.7884943001,-25.7468489048866,418,0
68996.7884943001,-25.7361096627599,419,0
68997.7884943001,-25.7253704206343,420,0
68998.7884943001,-25.7146311785075,421,0
68999.7884943001,-25.7038919363818,422,0
69000.7884943001,-25.6931526942552,423,0
69001.7884943001,-25.6824134521295,424,0
69002.7884943001,-25.6716742100026,425,0
69003.7884943001,-25.6609349678769,426,0
69004.7884943001,-25.6501957257502,427,0
69005.7884943001,-25.6394564836245,428,0
69006.7884943001,-25.6287172414978,429,0
69007.7884943001,-25.6179779993722,430,0
69008.7884943001,-25.6072387572464,431,0
69009.7884943001,-25.5964995151196,432,0
69010.7884943001,-25.5857602729939,433,0
69011.7884943001,-25.5750210308673,434,0
69012.7884943001,-25.5642817887416,435,0
69013.7884943001,-25.5535425466148,436,0
69014.7884943001,-25.5428033044891,437,0
69015.7884943001,-25.5320640623623,438,0
69016.7884943001,-25.5213248202366,439,0
69017.7884943001,-25.5105855781099,440,0
69018.7884943001,-25.4998848642189,441,0
69019.7884943001,-25.4906911625294,442,0
69020.7884943001,-25.4814974608407,443,0
69021.7884943001,-25.4723037591513,444,0
69022.7884943001,-25.4631100574628,445,0
69023.7884943001,-25.4539163557733,446,0
69024.7884943001,-25.4447226540848,447,0
69025.7884943001,-25.4355289523953,448,0
69026.7884943001,-25.4263352507069,449,0
69027.7884943001,-25.4171415490173,450,0
69028.7884943001,-25.4079478473287,451,0
69029.7884943001,-25.3987541456393,452,0
69030.7884943001,-25.3895604439507,453,0
69031.7884943001,-25.3803667422613,454,0
69032.7884943001,-25.3711730405728,455,0
69033.7884943001,-25.3619793388841,456,0
69034.7884943001,-25.3527856371946,457,0
69035.7884943001,-25.3435919355062,458,0
69036.7884943001,-25.3343982338167,459,0
69037.7884943001,-25.3252045321281,460,0
69038.7884943001,-25.3159367944363,461,0
69039.7884943001,-25.3039020230581,462,0
